"CO_CODIGO_GRUPO";"NO_DESCRICAO_GRUPO";"TP_ORIGEM";"TP_HABILITACAO"
"2303";"ENTERAL";"";"H"
"2304";"ENTERAL E PARENTERAL";"";"H"
"2401";"TRANSPLANTE DE CELULAS PROGENITORAS HEMATOPOETICAS AUTOLOGO";"";"H"
"2403";"TRANSPLANTE DE CELULAS PROGENITORAS HEMATOPOETICAS NAO APARENTADO";"";"H"
"2408";"TRANSPLANTE DE RIM";"";"H"
"2409";"TRANSPLANTE DE FIGADO";"";"H"
"2410";"TRANSPLANTE DE PULMAO";"";"H"
"2411";"TRANSPLANTE DE CORACAO";"";"H"
"2413";"BANCO DE TECIDO OCULAR HUMANO";"";"H"
"2415";"BANCO DE TECIDO MUSCULO ESQUELETICO";"";"H"
"2417";"EXAMES DE HISTOCOMPATIBILIDADE ATRAVES DE SOROLOGIA - TIPO I";"";"H"
"2501";"UNIDADE DE ASSISTENCIA DE ALTA COMPLEXIDADE EM TRAUMATO-ORTOPEDIA*";"";"H"
"2503";"COLUNA";"";"H"
"2505";"ANTEBRACO, PUNHO E MAO";"";"H"
"0903";"CUIDADOS PROLONGADOS - ENFERMIDADES NEUROLÓGICAS ";"P";"H"
"0907";"ADESÃO DO MUNICIPIO AO PROGRAMA DE CIDADANIA - PRONASCI";"";"S"
"0908";"ADESÃO DO ESTADO/DISTRITO FEDERAL AO PROJETO OLHAR BRASIL";"";"S"
"7008";"ESTABELECIMENTO DE SAÚDE PRIVADO AMBULATORIAL COM CONTRATO DE GESTÃO/METAS";"P";"G"
"7009";"ESTABELECIMENTO DE SAÚDE PRIVADO HOSPITALAR COM CONTRATO DE GESTÃO/METAS";"P";"G"
"2419";"BANCO DE PELE HUMANA";"";"H"
"2508";"PERNA, TORNOZELO E PE";"";"H"
"2509";"ORTOPEDIA INFANTIL";"";"H"
"2510";"TRAUMATOLOGIA ORTOPEDICA DE URGENCIA";"";"H"
"2511";"ORTOPEDIA - COLUNA";"";"H"
"2512";"ORTOPEDIA - OMBRO";"";"H"
"2513";"ORTOPEDIA - MAO";"";"H"
"2514";"ORTOPEDIA - QUADRIL";"";"H"
"2515";"ORTOPEDIA - JOELHO";"";"H"
