codigo_habilitacao;tipo_habilitacao;descricao_habilitacao;origem_habilitacao;linha_cuidado;sublinha_cuidado;componente_rede;nivel_complexidade;usar_observatorio;prioridade;fonte_cnes;fonte_normativa;criterio_classificacao;status_validacao;observacao
4001;D;DCEBAS;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
1410;H;UNIDADE DE CENTRO DE PARTO NORMAL INTRA-HOSPITALAR TIPO I 3 PPP (CPNI I 3 PPP);;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
1411;H;UNIDADE DE CENTRO DE PARTO NORMAL INTRA-HOSPITALAR TIPO I 5 PPP (CPNI I 5 PPP);;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
1412;H;UNIDADE DE CENTRO DE PARTO NORMAL PERI-HOSPITALAR 5PPP;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
1413;H;ATENCAO HOSPITALAR DE REFERENCIA A GESTACAO DE ALTO RISCO TIPO I (GAR I);;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
1414;H;ATENCAO HOSPITALAR DE REFERENCIA A GESTACAO DE ALTO RISCO TIPO II (GAR II);;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
1415;H;CASA DA GESTANTE, BEBE E PUERPERA;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
0916;S;PROGRAMA DE SAUDE NA HORA - USF 60 HS;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
0917;S;PROGRAMA DE SAUDE NA HORA - USF 60 HS COM SAUDE BUCAL;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
0918;S;PROGRAMA DE SAUDE NA HORA - USF 75 HS COM SAUDE BUCAL;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
8237;I;CASA DA GESTANTE, BEBÊ E PUÉRPERA (CGBP);;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
8112;I;ACADEMIA DA SAÚDE EM MUNICÍPIOS COM NASF;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
8113;I;ACADEMIA DA SAÚDE EM MUNICÍPIOS SEM NASF;;Fora do escopo inicial;Não aplicável;Não aplicável;Não definido;Não;Baixa;CNES - tbSubGruposHabilitacao202601 (CO_CODIGO_GRUPO, TP_HABILITACAO, NO_DESCRICAO_GRUPO, TP_ORIGEM);Revisar;Sem correspondência direta com escopo estratégico inicial do Ciclo 1.;revisar;"Classificação preliminar; revisar com base normativa específica."
